999,999,999,999, 0.941960 , -4.282984 , 0.936920 , 20.025845 ," 272369
"
1000,1000,1000,1000, 1.209851 , 0.120976 , 0.922739 , 19.779076 ," 272902
"
1000,1000,1000,1000, 1.234063 , -4.955606 , 0.929398 , 19.493710 ," 273436
"
1000,1000,1000,1000, 1.354482 , -3.889990 , 0.949341 , 19.293808 ," 273969
"
1000,1000,1000,1000, 1.351671 , 1.987170 , 0.978668 , 19.058514 ," 274502
"
1000,1000,1000,1000, 1.828057 , -8.749874 , 1.016734 , 18.792377 ," 275036
"
1000,1000,1000,1000, 1.981561 , -0.348045 , 1.052503 , 18.575094 ," 275569
"
1000,1000,1000,1000, 1.981621 , -0.283033 , 1.077197 , 18.367842 ," 276103
"
999,999,999,999, 2.240354 , -8.831173 , 1.090154 , 18.096252 ," 276636
"
999,999,999,999, 1.937015 , 2.045424 , 1.088373 , 17.889275 ," 277169
"
999,999,999,999, 1.859132 , -3.964998 , 1.073510 , 17.695816 ," 277703
"
1000,1000,1000,1000, 1.602686 , -5.353867 , 1.050005 , 17.413214 ," 278236
"
999,999,999,999, 1.165895 , 0.528691 , 1.023813 , 17.237722 ," 278769
"
1000,1000,1000,1000, 1.187214 , -4.781044 , 1.004430 , 17.033701 ," 279303
"
1000,1000,1000,1000, 1.056749 , -2.507049 , 0.995335 , 16.763275 ," 279836
"
999,999,999,999, 0.950895 , -2.758533 , 0.998237 , 16.611269 ," 280369
"
1000,1000,1000,1000, 1.157118 , -2.233922 , 1.015758 , 16.389360 ," 280903
"
1000,1000,1000,1000, 1.571730 , -3.307477 , 1.045529 , 16.148867 ," 281436
"
1000,1000,1000,1000, 1.567517 , -3.723306 , 1.079509 , 15.991665 ," 281969
"
1000,1000,1000,1000, 1.564342 , 0.188777 , 1.110906 , 15.770797 ," 282503
"
999,999,999,999, 1.998523 , -6.497609 , 1.137345 , 15.554425 ," 283036
"
1000,1000,1000,1000, 2.059906 , -1.400035 , 1.153156 , 15.378644 ," 283569
"
999,999,999,999, 1.883410 , -0.681126 , 1.155226 , 15.179301 ," 284103
"
999,999,999,999, 1.549243 , -7.615543 , 1.143960 , 14.965238 ," 284636
"
1000,1000,1000,1000, 1.616621 , 1.427974 , 1.122684 , 14.789716 ," 285169
"
999,999,999,999, 1.475384 , -3.833020 , 1.098766 , 14.611782 ," 285703
"
1000,1000,1000,1000, 1.258084 , -5.310066 , 1.075747 , 14.388834 ," 286236
"
999,999,999,999, 1.218178 , 1.178449 , 1.059436 , 14.235076 ," 286769
"
999,999,999,999, 1.130225 , -5.659964 , 1.055041 , 14.054173 ," 287303
"
999,999,999,999, 1.031458 , -2.389203 , 1.060602 , 13.831765 ," 287836
"
999,999,999,999, 1.292405 , -1.602116 , 1.077273 , 13.699535 ," 288369
"
1000,1000,1000,1000, 1.344230 , -4.212613 , 1.103593 , 13.503424 ," 288903
"
1000,1000,1000,1000, 1.389469 , -2.043569 , 1.132263 , 13.302896 ," 289436
"
999,999,999,999, 2.053277 , -3.757225 , 1.160998 , 13.171427 ," 289969
"
1000,1000,1000,1000, 1.722979 , -1.601799 , 1.184214 , 12.968265 ," 290503
"
999,999,999,999, 1.854074 , -4.461688 , 1.196130 , 12.792987 ," 291036
"
999,999,999,999, 1.674596 , -2.444763 , 1.195786 , 12.648956 ," 291569
"
1000,1000,1000,1000, 1.821557 , -1.098174 , 1.185891 , 12.461704 ," 292103
"
999,999,999,999, 1.774826 , -6.243569 , 1.171122 , 12.295786 ," 292636
"
999,999,999,999, 1.571536 , 0.161163 , 1.153064 , 12.145204 ," 293169
"
1000,1000,1000,1000, 1.243364 , -3.353328 , 1.135355 , 11.980161 ," 293703
"
1000,1000,1000,1000, 1.286427 , -5.560205 , 1.123053 , 11.804953 ," 294236
"
999,999,999,999, 1.124052 , 0.988609 , 1.118792 , 11.664251 ," 294769
"
999,999,999,999, 1.342746 , -5.648160 , 1.124573 , 11.505920 ," 295303
"
999,999,999,999, 1.592028 , -2.783441 , 1.140831 , 11.325910 ," 295836
"
1000,1000,1000,1000, 0.423589 , -0.677751 , 1.158198 , 11.207436 ," 296369
"
1000,1000,1000,1000, 1.744606 , -5.666215 , 1.176697 , 11.041682 ," 296903
"
999,999,999,999, 0.990545 , -1.529623 , 1.196229 , 10.871321 ," 297436
"
1000,1000,1000,1000, 2.338243 , -2.878249 , 1.217696 , 10.760351 ," 297969
"
999,999,999,999, 1.452720 , -3.437936 , 1.235472 , 10.583920 ," 298503
"
1000,1000,1000,1000, 1.586156 , -2.419970 , 1.240237 , 10.437234 ," 299036
"
1000,1000,1000,1000, 1.839582 , -3.506191 , 1.239619 , 10.318584 ," 299569
"
999,999,999,999, 1.595484 , -1.759173 , 1.233173 , 10.145831 ," 300103
"
1000,1000,1000,1000, 2.071683 , -4.521314 , 1.223496 , 10.014652 ," 300636
"
999,999,999,999, 1.268400 , -1.505404 , 1.210962 , 9.883569 ," 301169
"
1000,1000,1000,1000, 1.761518 , -2.629641 , 1.199605 , 9.730020 ," 301703
"
1000,1000,1000,1000, 1.142330 , -5.021203 , 1.192774 , 9.598790 ," 302236
"
1000,1000,1000,1000, 1.583908 , 0.133085 , 1.190603 , 9.470267 ," 302769
"
1000,1000,1000,1000, 1.449959 , -4.938156 , 1.197231 , 9.329769 ," 303303
"
999,999,999,999, 1.366355 , -3.308104 , 1.208444 , 9.189346 ," 303836
"
1000,1000,1000,1000, 1.702011 , -0.412149 , 1.223790 , 9.076622 ," 304369
"
